"s_no","Company","TypeName","Inches","resolution_width","resolution_height","resolution_category","PPI","is_touch_screen","cpu_brand","cpu_name","cpu_speed","cpu_series","cpu_tier","Ram(Gb)","memory_type","primary_storage","secondary_storage","gpu_brand","gpu_name","OpSys","Weight(kg)","Price","price_segment"
29,"HP","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"HDD",1024,0,"Nvidia"," GeForce 930MX","windows",2.5,47739.0,"mid_range"
30,"Chuwi","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Atom x5-Z8300 ",1.44,"Atom","Essential",4,"Flash storage",64,0,"Intel"," HD Graphics","windows",1.89,13053.0,"budget"
31,"Asus","Notebook",14.0,1366,768,"HD",112,0,"AMD"," E-Series E2-6110 ",1.5,"E-Series","Essential",2,"Flash storage",32,0,"AMD"," Radeon R2","windows",1.65,10603.0,"budget"
32,"HP","Notebook",17.3,1920,1080,"Full HD",127,0,"AMD"," A6-Series 9220 ",2.5,"A6","Standard",4,"HDD",500,0,"AMD"," Radeon 530","windows",2.71,23390.0,"budget"
33,"Dell","Ultrabook",13.3,3200,1800,"4K",276,1,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"SSD",512,0,"Intel"," UHD Graphics 620","windows",1.2,99580.0,"premium"
34,"Apple","Ultrabook",13.3,1440,900,"HD",128,0,"Intel"," Core i5 ",1.6,"Core i5","Performance",8,"Flash storage",256,0,"Intel"," HD Graphics 6000","macos",1.35,53173.0,"upper_mid_range"
35,"Lenovo","Notebook",14.0,1366,768,"HD",112,0,"Intel"," Celeron Dual Core N3350 ",1.1,"Celeron","Essential",4,"Flash storage",64,0,"Intel"," HD Graphics 500","windows",1.44,13267.0,"budget"
36,"Acer","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i3 7130U ",2.7,"Core i3","Standard",4,"HDD",1024,0,"Intel"," HD Graphics 620","linux",2.1,19554.0,"budget"
37,"Dell","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"Hybrid",128,1024,"AMD"," Radeon 530","windows",2.8,52161.0,"upper_mid_range"
38,"HP","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"HDD",1024,0,"Intel"," HD Graphics 620","windows",1.86,26037.0,"budget"
39,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Nvidia"," GeForce 930MX ","windows",2.1,46833.0,"mid_range"
40,"Asus","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",1024,0,"Intel"," HD Graphics 620","linux",2.0,20726.0,"budget"
41,"Dell","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,1024,"Nvidia"," GeForce GTX 1060","windows",2.65,79867.0,"upper_mid_range"
42,"Asus","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"HDD",1024,0,"Nvidia"," GeForce 940MX","linux",2.3,27865.0,"budget"
43,"Acer","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",4,"SSD",256,0,"Intel"," UHD Graphics 620","windows",2.2,36337.0,"mid_range"
44,"Dell","2 in 1 Convertible",17.3,1920,1080,"Full HD",127,1,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",12,"HDD",1024,0,"Nvidia"," GeForce 150MX","windows",2.77,53227.0,"upper_mid_range"
45,"Apple","Ultrabook",13.3,2560,1600,"3K",227,0,"Intel"," Core i5 ",2.0,"Core i5","Performance",8,"SSD",256,0,"Intel"," Iris Graphics 540","macos",1.37,75604.0,"upper_mid_range"
47,"Asus","Gaming",17.3,1920,1080,"Full HD",127,0,"AMD"," Ryzen 1700 ",3.0,"Ryzen","Performance",8,"Hybrid",256,1024,"AMD"," Radeon RX 580","windows",3.2,69211.0,"upper_mid_range"
48,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"SSD",256,0,"AMD"," Radeon R5 M430","windows",2.3,34046.0,"mid_range"
49,"Asus","Notebook",17.3,1366,768,"HD",91,0,"Intel"," Pentium Quad Core N4200 ",1.1,"Pentium","Standard",4,"HDD",1024,0,"Nvidia"," GeForce 920MX","windows",2.8,24828.0,"budget"
51,"Acer","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," GeForce MX150","windows",2.2,44808.0,"mid_range"
52,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"AMD"," A6-Series 9220 ",2.5,"A6","Standard",4,"SSD",256,0,"AMD"," Radeon R4 Graphics","windows",1.86,21232.0,"budget"
53,"HP","Notebook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",512,0,"Intel"," UHD Graphics 620","windows",1.49,58768.0,"upper_mid_range"
54,"Acer","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i3 7100U ",2.4,"Core i3","Standard",4,"HDD",1024,0,"Intel"," HD Graphics 620","windows",2.4,20460.0,"budget"
55,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon 520","windows",2.13,40908.0,"mid_range"
56,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"SSD",128,0,"Intel"," HD Graphics 520","windows",1.91,23390.0,"budget"
57,"Asus","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"SSD",256,0,"Intel"," HD Graphics 620","windows",2.0,31232.0,"budget"
58,"MSI","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,2048,"Nvidia"," GeForce GTX 1070","windows",2.43,130483.0,"premium"
59,"Asus","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"SSD",256,0,"Intel"," HD Graphics 520","linux",2.0,22111.0,"budget"
60,"Dell","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"Hybrid",256,2048,"AMD"," Radeon 530","windows",2.8,69211.0,"upper_mid_range"
61,"Dell","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.7,46833.0,"mid_range"
62,"Lenovo","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i3 7130U ",2.7,"Core i3","Standard",8,"SSD",256,0,"Intel"," HD Graphics 620","no OS",1.7,31915.0,"budget"
63,"Asus","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.4,50136.0,"mid_range"
64,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.86,36763.0,"mid_range"
65,"Asus","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"SSD",512,0,"Nvidia"," GeForce GTX 1050 Ti","windows",1.8,105654.0,"premium"
66,"HP","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",500,0,"AMD"," Radeon 520","windows",1.86,23373.0,"budget"
67,"HP","Notebook",14.0,1366,768,"HD",112,0,"Intel"," Celeron Dual Core N3060 ",1.6,"Celeron","Essential",4,"SSD",32,0,"Intel"," HD Graphics 400","windows",1.44,12201.0,"budget"
68,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"HDD",1024,0,"Intel"," HD Graphics 620","windows",1.9,29251.0,"budget"
69,"Asus","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",12,"HDD",1024,0,"Nvidia"," GeForce GTX 1050 Ti","linux",3.0,50563.0,"mid_range"
70,"Microsoft","Ultrabook",13.5,2256,1504,"2K",201,1,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"SSD",128,0,"Intel"," HD Graphics 620","windows",1.252,58022.0,"upper_mid_range"
71,"Dell","Ultrabook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",64,"SSD",256,0,"AMD"," Radeon 530","windows",1.4,50882.0,"mid_range"
72,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon 530","windows",2.2,46354.0,"mid_range"
73,"MSI","Gaming",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i5 7300HQ ",2.5,"Core i5","Performance",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050","windows",2.7,58342.0,"upper_mid_range"
74,"Acer","Notebook",14.0,1366,768,"HD",112,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",8,"HDD",1024,0,"Intel"," HD Graphics 520","windows",2.1,20726.0,"budget"
75,"Asus","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",8,"HDD",1024,0,"Nvidia"," GeForce GTX 1050","windows",2.2,50563.0,"mid_range"
76,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"HDD",2048,0,"Intel"," HD Graphics 620","no OS",2.2,27652.0,"budget"
77,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"Hybrid",128,1024,"Intel"," UHD Graphics 620","windows",2.02,45554.0,"mid_range"
78,"Acer","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 7130U ",2.7,"Core i3","Standard",4,"HDD",1024,0,"Nvidia"," GeForce MX130","windows",2.2,28238.0,"budget"
79,"HP","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"Hybrid",128,1024,"Nvidia"," GeForce 930MX","windows",2.5,52055.0,"upper_mid_range"
80,"Dell","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.88,58403.0,"upper_mid_range"
81,"Apple","Ultrabook",12.0,2304,1440,"2K",226,0,"Intel"," Core i5 ",1.3,"Core i5","Performance",8,"SSD",512,0,"Intel"," HD Graphics 615","macos",0.92,80453.0,"premium"
82,"HP","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.63,45821.0,"mid_range"
83,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"AMD"," A6-Series 9220 ",2.5,"A6","Standard",4,"SSD",128,0,"AMD"," R4 Graphics","windows",2.2,21259.0,"budget"
84,"Acer","Notebook",15.6,1366,768,"HD",100,0,"AMD"," A9-Series 9420 ",3.0,"A9","Standard",4,"HDD",1024,0,"AMD"," Radeon R5","windows",2.1,21046.0,"budget"
85,"Dell","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050 Ti","windows",2.65,71875.0,"upper_mid_range"
86,"HP","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," GeForce GTX 940MX","windows",1.83,37243.0,"mid_range"
87,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.96,31914.0,"budget"
88,"Asus","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1060","windows",2.2,77203.0,"upper_mid_range"
89,"Dell","Ultrabook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.21,87859.0,"premium"
90,"Asus","Gaming",15.6,1920,1080,"Full HD",141,0,"AMD"," FX 9830P ",3.0,"FX","Performance",8,"HDD",1024,0,"AMD"," Radeon RX 560","windows",2.45,37243.0,"mid_range"
91,"Acer","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",2,"HDD",1024,0,"Nvidia"," GeForce MX150","windows",2.2,36710.0,"mid_range"
92,"HP","Notebook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"SSD",512,0,"Intel"," UHD Graphics 620","windows",1.49,63776.0,"upper_mid_range"
93,"Dell","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7300HQ ",2.5,"Core i5","Performance",8,"SSD",256,0,"Nvidia"," GeForce GTX 1060","windows",2.65,63670.0,"upper_mid_range"
94,"Asus","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.25,55891.0,"upper_mid_range"
95,"Acer","2 in 1 Convertible",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.5,45128.0,"mid_range"
96,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"HDD",1024,0,"AMD"," Radeon R5 M430","linux",2.2,31963.0,"budget"
97,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"SSD",256,0,"AMD"," Radeon R5 M430","linux",2.2,25841.0,"budget"
98,"Asus","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 7100U ",2.4,"Core i3","Standard",6,"SSD",256,0,"Nvidia"," GeForce 920M","windows",2.0,30743.0,"budget"
99,"HP","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",12,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050","windows",2.62,66547.0,"upper_mid_range"
100,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon 530","windows",1.91,38308.0,"mid_range"
101,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"AMD"," E-Series E2-9000e ",1.5,"E-Series","Essential",4,"HDD",500,0,"AMD"," Radeon R2","windows",2.1,18595.0,"budget"
102,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"HDD",1024,0,"AMD"," Radeon 520","linux",2.2,34472.0,"mid_range"
103,"HP","Ultrabook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," GeForce MX150","windows",1.38,59620.0,"upper_mid_range"
104,"Microsoft","Ultrabook",13.5,2256,1504,"2K",201,1,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.252,71395.0,"upper_mid_range"
105,"HP","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",6,"SSD",256,0,"Nvidia"," GeForce 940MX","windows",1.58,35112.0,"mid_range"
106,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",1024,0,"Intel"," HD Graphics 520","windows",1.85,22106.0,"budget"
107,"Asus","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," GeForce 940MX","windows",1.3,63563.0,"upper_mid_range"
108,"MSI","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,1024,"Nvidia"," GeForce GTX 1050 Ti","windows",2.2,69211.0,"upper_mid_range"
109,"Lenovo","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.58,78854.0,"upper_mid_range"
110,"Asus","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"Hybrid",256,1024,"Nvidia"," GeForce MX150","windows",1.5,67239.0,"upper_mid_range"
111,"Dell","Ultrabook",13.3,3200,1800,"4K",276,1,"Intel"," Core i7 7560U ",2.4,"Core i7","Elite",8,"SSD",256,0,"Intel"," Iris Plus Graphics 640","windows",1.23,73473.0,"upper_mid_range"
112,"Lenovo","2 in 1 Convertible",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.37,74539.0,"upper_mid_range"
113,"HP","Notebook",14.0,1366,768,"HD",112,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",4,"HDD",500,0,"Intel"," UHD Graphics 620","windows",1.63,38468.0,"mid_range"
114,"Dell","Ultrabook",13.3,1920,1080,"Full HD",166,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.21,86793.0,"premium"
116,"HP","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",512,0,"Intel"," UHD Graphics 620","windows",1.63,57756.0,"upper_mid_range"
117,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"Hybrid",256,1024,"Nvidia"," GeForce 940MX","windows",2.16,60224.0,"upper_mid_range"
118,"Asus","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",1024,0,"Nvidia"," GeForce 920MX","windows",2.0,30050.0,"budget"
119,"Asus","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"Nvidia"," GeForce 940MX","windows",1.7,59567.0,"upper_mid_range"
120,"Acer","Notebook",15.6,1920,1080,"Full HD",141,1,"Intel"," Core i3 7100U ",2.4,"Core i3","Standard",6,"HDD",1024,0,"Intel"," HD Graphics 620","windows",2.1,25521.0,"budget"
121,"MSI","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7700HQ ",2.8,"Core i7","Elite",16,"Hybrid",256,2048,"Nvidia"," GeForce GTX 1070","windows",1.8,119427.0,"premium"
122,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Nvidia"," GeForce 940MX","no OS",2.2,33513.0,"mid_range"
123,"HP","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"SSD",512,0,"Nvidia"," GeForce 930MX ","windows",2.5,67719.0,"upper_mid_range"
124,"Acer","Notebook",15.6,1366,768,"HD",100,0,"AMD"," A9-Series 9420 ",3.0,"A9","Standard",4,"SSD",256,0,"AMD"," Radeon R5","windows",2.1,24029.0,"budget"
126,"HP","Notebook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"HDD",1024,0,"Intel"," UHD Graphics 620","windows",1.63,43263.0,"mid_range"
127,"Asus","Notebook",14.0,1366,768,"HD",112,0,"AMD"," E-Series 6110 ",1.5,"E-Series","Essential",4,"SSD",64,0,"AMD"," Radeon R2","windows",1.65,14811.0,"budget"
128,"Dell","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"Hybrid",256,2048,"AMD"," Radeon 530","windows",2.8,74379.0,"upper_mid_range"
129,"HP","Notebook",17.3,1920,1080,"Full HD",127,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",2.5,49444.0,"mid_range"
130,"Dell","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"HDD",1024,0,"AMD"," Radeon R7 M445","windows",2.36,34045.0,"mid_range"
